,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_name
ENSG00000145241,-0.01504897,4.86304419,-0.110465354,0.912264644,0.960405259,-6.626289795,CENPC
ENSG00000159199,-0.015119077,5.110228463,-0.110228265,0.912452178,0.960537705,-6.642240555,ATP5MC1
ENSG00000259112,-0.06299666,-2.168124672,-0.110121535,0.912536602,0.960561596,-5.408230998,NDUFC2-KCTD14
ENSG00000254706,-0.0588398,-2.172472548,-0.109988848,0.912641559,0.960607096,-5.344792382,AL512785.2
ENSG00000158050,-0.035250188,1.001249475,-0.109732128,0.912844633,0.960755856,-5.826073163,DUSP2
ENSG00000267281,-0.023288491,2.374349963,-0.109618754,0.912934317,0.960785263,-6.118934773,ATF7-NPFF
ENSG00000187010,-0.020757306,4.934663753,-0.109376724,0.913125777,0.96088863,-6.618529429,RHD
ENSG00000166444,0.020989828,5.100396907,0.109338475,0.913156035,0.96088863,-6.642616501,DENND2B
ENSG00000196220,0.020939713,2.153898157,0.109140834,0.913312385,0.960973337,-6.099943108,SRGAP3
ENSG00000254995,-0.016268718,5.170721089,-0.10908059,0.913360044,0.960973337,-6.648626868,STX16-NPEPL1
ENSG00000242221,0.024036416,3.1550281,0.108850143,0.913542352,0.96097697,-6.329138301,PSG2
ENSG00000145824,0.027261402,-0.673052008,0.108829711,0.913558226,0.96097697,-5.580935263,CXCL14
ENSG00000132640,0.021534215,2.675362444,0.108703448,0.913658407,0.96097697,-6.227656088,BTBD3
ENSG00000111912,0.013375273,5.414436134,0.10858422,0.913752732,0.96097697,-6.668851534,NCOA7
ENSG00000164039,0.021139001,2.767403164,0.108505738,0.913814823,0.96097697,-6.234059042,BDH2
ENSG00000126759,0.01433406,6.747307065,0.108380081,0.913914237,0.96097697,-6.699477349,CFP
ENSG00000065717,-0.040776531,0.488070442,-0.108353056,0.913935618,0.96097697,-5.824792385,TLE2
ENSG00000137462,0.021011466,9.185961831,0.108334507,0.913950293,0.96097697,-6.587247414,TLR2
ENSG00000075711,-0.010998851,5.897458951,-0.1082896,0.913985822,0.96097697,-6.701651904,DLG1
ENSG00000013810,-0.01039712,6.484613078,-0.108178227,0.914073937,0.96097697,-6.705349772,TACC3
ENSG00000233822,0.015966087,4.456781371,0.108060376,0.914167179,0.96097697,-6.583862441,H2BC15
